ID	Name	Desc	Price	Type	Col1	Col2	Col3
159	1/4 sheet coffee cake	vanilla base with coffee flavor	55	4	1	100	0
160	1/4 sheet chocolate flakes cake	chocolate base with fresh chocolate cream	55	4	1	100	0
161	1/4 sheet rasamalai cake	vanilla base with pieces of rasamalai 	65	4	1	100	0
162	1/4 sheet fererro rocher chocolate cake	chocolate base with crushed hazelnut chocolate 	65	4	1	100	0
163	1/4 sheet Chocolate delight cake	chocolate base with fresh chocolate cream and chocolate ganache	65	4	1	100	0
164	1/4 sheet Raspberry cake	vanilla base with raspberries flavor	65	4	1	100	0
165	1/4 sheet de leche cake	vanilla base caramel flavor	55	4	1	100	0
166	1/4 sheet Gulab jamun cake	vanilla base with pieces of gulabjamun	65	4	1	100	0
167	1/4 sheet eggless blackforest cake	chocolate base with vanilla cream and crushed cherries	55	4	1	100	0
168	1/4 sheet eggless pineapple cake	vanilla base with vanilla cream and crushed pineapple	55	4	1	100	0
169	1/4 sheet eggless mix fruit cake	vanilla base with fresh fruits 	55	4	1	100	0
170	1/4 sheet eggless fresh strawberry cake	vanilla base with fresh strawberries	65	4	1	100	0
171	1/4 sheeteggless mango cake	vanilla base with mango puree	65	4	1	100	0
172	1/4 sheet eggless pistachio cake	vanilla base with pistachio essence and pistachio nuts	75	4	1	100	0
173	1/4 sheet eggless nougat cake	vanilla base with caramalized sugar with cashew	65	4	1	100	0
174	1/4 sheet eggless mocha cake	chocolate with chocolate and coffee mix cream	65	4	1	100	0
175	1/4 sheet eggless coffee cake	vanilla base with coffee flavor	65	4	1	100	0
176	1/4 sheet eggless chocolate flakes cake	chocolate base with fresh chocolate cream	65	4	1	100	0
177	1/4 sheet eggless rasamalai cake	vanilla base with pieces of rasamalai 	75	4	1	100	0
178	1/4 sheet eggless fererro rocher chocolate cake	chocolate base with crushed hazelnut chocolate 	75	4	1	100	0
179	1/4 sheet eggless Chocolate delight cake	chocolate base with fresh chocolate cream and chocolate ganache	75	4	1	100	0
180	1/4 sheet eggless Raspberry cake	vanilla base with raspberries flavor	75	4	1	100	0
181	1/4 sheet eggless Dulce de leche cake	vanilla base caramel flavor	65	4	1	100	0
182	1/4 sheet eggless Gulab jamun cake	vanilla base with pieces of gulabjamun	75	4	1	100	0
183	1/2 sheet blackforest cake	chocolate base with vanilla cream and crushed cherries	70	4	1	100	0
184	1/2 sheet pineapple cake	vanilla base with vanilla cream and crushed pineapple	70	4	1	100	0
185	1/2 sheet mix fruit cake	vanilla base with fresh fruits 	70	4	1	100	0
186	1/2 sheet fresh strawberry cake	vanilla base with fresh strawberries	85	4	1	100	0
187	1/2 sheet mango cake	vanilla base with mango puree	85	4	1	100	0
188	1/2 sheet pistachio cake	vanilla base with pistachio essence and pistachio nuts	100	4	1	100	0
189	1/2 sheet nougat cake	vanilla base with caramalized sugar with cashew	85	4	1	100	0
190	1/2 sheet mocha cake	chocolate with chocolate and coffee mix cream	85	4	1	100	0
191	1/2 sheet coffee cake	vanilla base with coffee flavor	85	4	1	100	0
192	1/2 sheet chocolate flakes cake	chocolate base with fresh chocolate cream	85	4	1	100	0
193	1/2 sheet rasamalai cake	vanilla base with pieces of rasamalai 	100	4	1	100	0
